Date,Open,High,Low,Close,TR1,+DM1,-DM1,TR14,+DM14,-DM14,+DI14,-DI14,DI14 Diff,DI14 Sum,DX,ADX,Trend,Up/Down,Decision,USD,BTC,Value (USD)
2/10/14 11:00,567.63,638.51,535.78,631.03,102.73,0,15.54,359.2314829,25.5929451,166.8728749,7.124360284,46.45274228,39.328382,53.57710257,73.40520505,22.59652856,,Down,,1000000,0,1000000
2/10/14 12:00,631.03,631.76,594.36,606.55,37.4,0,0,370.9720913,23.76487759,154.9533839,6.406109287,41.76955289,35.36344361,48.17566218,73.40520505,26.22571974,New Trend,Down,Sell,1000000,0,1000000
2/10/14 13:00,606.55,615.58,598.53,607.77,17.05,0,0,361.5240847,22.06738633,143.885285,6.103987885,39.79964022,33.69565233,45.9036281,73.40520505,29.59568298,Current Trend,Down,,1000000,0,1000000
2/10/14 14:00,607.77,649.03,605.78,645.02,43.25,33.45,0,378.9509358,53.94114445,133.6077647,14.23433467,35.25727265,21.02293798,49.49160733,42.47778384,30.51583304,Current Trend,Down,,1000000,0,1000000
2/10/14 15:00,645.02,662.62,631.93,656.97,30.69,13.59,0,382.5730118,63.67820556,124.0643529,16.64471972,32.42893489,15.78421516,49.07365461,32.16433601,30.63358325,Current Trend,Down,,1000000,0,1000000
2/10/14 16:00,656.97,678.15,654.35,661.94,23.8,15.53,0,379.0463681,74.65976231,115.2026134,19.69673596,30.39274957,10.69601361,50.08948553,21.35381007,29.97074231,Current Trend,Down,,1000000,0,1000000
2/10/14 17:00,661.94,671.04,654.57,662.75,16.47,0,0,368.4416276,69.32692214,106.9738553,18.81625662,29.03413928,10.21788266,47.8503959,21.35381007,29.35524715,Current Trend,Down,,1000000,0,1000000
2/10/14 18:00,662.75,665.53,654.35,655.39,11.18,0,0.22,353.3043684,64.37499913,99.55286565,18.22083305,28.17764923,9.956816179,46.39848228,21.45935748,28.79125503,Current Trend,Down,,1000000,0,1000000
2/10/14 19:00,655.39,663.37,652.72,662.05,10.65,0,1.63,338.7183421,59.77678491,94.07194668,17.64793265,27.77291188,10.12497922,45.42084453,22.29148165,28.3269855,Current Trend,Down,,1000000,0,1000000
2/10/14 20:00,662.05,666.21,660.97,664.4,5.24,2.84,0,319.7641748,58.34701456,87.35252191,18.24688916,27.31779505,9.070905885,45.56468421,19.90775541,27.72561192,Current Trend,Down,,1000000,0,1000000
2/10/14 21:00,664.4,674.05,663.58,668.7,10.47,7.84,0,307.3938766,62.01937066,81.11305606,20.17586405,26.38733632,6.211472268,46.56320038,13.33987402,26.69805922,Current Trend,Down,,1000000,0,1000000
2/10/14 22:00,668.7,676.63,661.26,663.6,15.37,2.58,0,300.8071712,60.16941561,75.31926634,20.00265332,25.03905278,5.036399455,45.0417061,11.18163562,25.58974325,Current Trend,Down,,1000000,0,1000000
2/10/14 23:00,663.6,681.34,661.86,674.05,19.48,4.71,0,298.8009446,60.58160021,69.93931875,20.27490251,23.40665918,3.131756677,43.68156169,7.169516281,24.27401275,,Down,,1000000,0,1000000
2/11/14 0:00,679.73,684.24,676.83,678.75,7.41,2.9,0,284.86802,59.15434306,64.94365312,20.7655261,22.79780409,2.032277989,43.56333019,4.665111642,22.87337696,,Down,,1000000,0,1000000
2/11/14 1:00,678.75,696.41,679.72,696.41,17.66,12.17,0,282.1803043,67.09903284,60.30482076,23.77877967,21.37102407,2.4077556,45.14980374,5.332815208,21.62047969,,Up,,1000000,0,1000000
2/11/14 2:00,696.41,701.85,693.45,699.47,8.4,5.44,0,270.4245683,67.74624478,55.99733356,25.05180842,20.70719163,4.344616797,45.75900005,9.494562364,20.75434274,,Up,,1000000,0,1000000
2/11/14 3:00,699.47,699.79,693.73,695.93,6.06,0,0,257.1685277,62.90722729,51.99752402,24.46147974,20.21924086,4.242238882,44.68072059,9.494562364,19.95007271,,Up,,1000000,0,1000000
2/11/14 4:00,695.93,709.62,694.41,706.65,15.21,9.83,0,254.0093471,68.24385391,48.28341516,26.86667033,19.00851906,7.858151276,45.87518939,17.12941435,19.74859711,,Up,,1000000,0,1000000
2/11/14 5:00,706.65,707.16,697.28,697.28,9.88,0,0,245.7458224,63.36929292,44.83459979,25.7865189,18.24429785,7.542221044,44.03081675,17.12941435,19.56151263,,Up,,1000000,0,1000000
2/11/14 6:00,697.28,700.26,692.12,699.15,8.14,0,5.16,236.3325493,58.84291486,46.79212838,24.89835405,19.79927374,5.099080305,44.69762779,11.40794391,18.97911486,,Up,,1000000,0,1000000
2/11/14 7:00,699.15,708.7,694.81,699.56,13.89,8.44,0,233.3416529,63.07984951,43.44983349,27.03325733,18.62069328,8.412564052,45.65395062,18.42680412,18.9396641,,Up,,1000000,0,1000000
2/11/14 8:00,699.56,711.15,699.57,706.99,11.59,2.45,0,228.264392,61.02414597,40.34627396,26.73397521,17.67523774,9.058737471,44.40921295,20.39832924,19.04385446,,Up,,1000000,0,1000000
2/11/14 9:00,706.99,713.07,691.98,695.12,21.09,0,7.59,233.0497926,56.6652784,45.05439725,24.31466588,19.33251978,4.982146101,43.64718566,11.41458728,18.49890681,,Up,,1000000,0,1000000
2/11/14 10:00,695.12,700.6,694.73,698.18,5.87,0,0,222.2733788,52.61775852,41.83622602,23.6725418,18.8219688,4.850573,42.4945106,11.41458728,17.99288398,,Up,,1000000,0,1000000
2/11/14 11:00,698.18,708.43,699.22,708.43,10.25,7.83,0,216.6467089,56.68934719,38.84792416,26.16672438,17.93146286,8.235261512,44.09818724,18.67483003,18.04159442,,Up,,1000000,0,1000000
2/11/14 12:00,708.43,708.61,698.19,699.57,10.42,0,1.03,211.591944,52.64010811,37.10307243,24.8781249,17.53520088,7.342924018,42.41332578,17.31277584,17.98953595,,Up,,1000000,0,1000000
2/11/14 13:00,699.57,703.02,698.4,700.54,4.62,0,0,201.0982337,48.88010039,34.45285297,24.30657867,17.13234987,7.174228807,41.43892854,17.31277584,17.94119594,,Up,,1000000,0,1000000
2/11/14 14:00,700.54,702.09,695.08,695.08,7.01,0,3.32,193.7440742,45.38866464,35.3119349,23.42712408,18.22607223,5.201051844,41.65319631,12.48656119,17.55157917,,Up,,1000000,0,1000000
