Date,Open,High,Low,Close
"2012-05-08 01:00:00",5.06,5.1,4.96,5.05
"2012-05-18 01:00:00",5.1,5.13,5.06,5.12
"2012-05-28 01:00:00",5.14,5.16,5.11,5.14
"2012-06-07 01:00:00",5.46,5.59,5.41,5.59
"2012-06-17 01:00:00",6.4,6.53,6.1,6.16
"2012-06-27 01:00:00",6.42,6.65,6.4,6.65
"2012-07-07 01:00:00",6.65,6.87,6.63,6.76
"2012-07-17 01:00:00",8.5,9.49,7.32,8.8
"2012-07-27 01:00:00",8.9,8.95,8.81,8.9
"2012-08-06 01:00:00",10.87,11.19,10.64,10.86
"2012-08-16 01:00:00",13.25,13.84,12.5,13.5
"2012-08-26 01:00:00",10.52,10.62,10.45,10.61
"2012-09-05 01:00:00",10.38,11.17,10.26,11
"2012-09-15 01:00:00",11.67,11.79,11.6,11.75
"2012-09-25 01:00:00",12.1,12.23,12.01,12.2
"2012-10-05 01:00:00",12.85,12.97,12.51,12.69
"2012-10-15 01:00:00",11.74,11.99,11.43,11.84
"2012-10-25 01:00:00",11.65,11.7,10.52,10.86
"2012-11-04 00:00:00",10.64,10.9,10.51,10.8
"2012-11-14 00:00:00",10.95,11.05,10.82,10.95
"2012-11-24 00:00:00",12.35,12.48,12.25,12.41
"2012-12-04 00:00:00",12.68,13.5,12.62,13.41
"2012-12-14 00:00:00",13.7,13.9,13,13.6
"2012-12-24 00:00:00",13.31,13.45,13.21,13.38
"2013-01-03 00:00:00",13.28,13.46,13.25,13.4
"2013-01-13 00:00:00",14.24,14.31,13.95,14.12
"2013-01-23 00:00:00",17.26,17.59,16.8,17.5
"2013-02-02 00:00:00",20.5,20.5,18,19.63
"2013-02-12 00:00:00",24.65,25.83,24.3,25.17
"2013-02-22 00:00:00",29.75,31.3,29.67,30.25
"2013-03-02 00:00:00",34.5,34.81,33.15,34.25
"2013-03-04 00:00:00",34.5,36.7,34.19,36.15
"2013-03-06 00:00:00",40.33,49.1,40.14,41.02
"2013-03-08 00:00:00",42,44.5,41.02,44.18
"2013-03-10 00:00:00",46.85,47.95,45.47,46
"2013-03-12 00:00:00",48.4,48.4,36.65,44.29
"2013-03-14 00:00:00",46.92,47.99,46.05,47.17
"2013-03-16 00:00:00",46.95,47.36,46.27,47
"2013-03-18 00:00:00",47.4,52.88,47.12,51.6
"2013-03-20 00:00:00",59.14,66,57.7,64.49
"2013-03-22 00:00:00",70.85,73.75,65,69.87
"2013-03-24 00:00:00",64.35,72.5,62.7,71.5
"2013-03-26 00:00:00",73.6,79.72,73.11,78.5
"2013-03-28 00:00:00",88.92,95.7,75,86.18
"2013-03-30 00:00:00",90.5,94.98,87,92.19
"2013-04-01 01:00:00",93.03,106,92.24,104
"2013-04-03 01:00:00",117.98,147,110,135
"2013-04-05 01:00:00",132.12,144.94,130.24,142.32
"2013-04-07 01:00:00",142.63,164.9,142.63,162.3
"2013-04-09 01:00:00",187.5,240.11,186.5,230
"2013-04-11 01:00:00",165,188.7,110.2,124.9
"2013-04-13 01:00:00",117,130,85.5,93
"2013-04-15 01:00:00",90,102,71.51,82.39
"2013-04-17 01:00:00",68.36,98.78,63.3,93.07
"2013-04-19 01:00:00",109.01,136.43,105.54,118.48
"2013-04-21 01:00:00",126.62,130.5,110,119.2
"2013-04-23 01:00:00",127.4,144.02,124.97,143.48
